種類,学年,レッスンID,ファイル名,タイトル,対応するレッスンID
おぼえる編（対応あり）,小6,"sci.chemistry.various_gases_oboeru","chemistry_various_gases_oboeru.js","いろいろな気体〈覚える編〉","sci.chemistry.various_gases"
おぼえる編（対応あり）,小4,"sci.chemistry.water_state_integrated_oboeru","chemistry_water_state_integrated_oboeru.js","水の状態変化（統合）〈覚える編〉","sci.chemistry.water_state_integrated"
おぼえる編（対応あり）,小6,"sci.comprehensive.animals_comprehensive_oboeru","comprehensive_animals_comprehensive_oboeru.js","動物総合〈覚える編〉","sci.comprehensive.animals_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.astronomy_comprehensive_oboeru","comprehensive_astronomy_comprehensive_oboeru.js","天体総合（太陽・月・地球・惑星）〈覚える編〉","sci.comprehensive.astronomy_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.biology_comprehensive_oboeru","comprehensive_biology_comprehensive_oboeru.js","生物総合〈覚える編〉","sci.comprehensive.biology_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.chemistry_comprehensive_oboeru","comprehensive_chemistry_comprehensive_oboeru.js","化学総合〈覚える編〉","sci.comprehensive.chemistry_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.combustion_comprehensive_oboeru","comprehensive_combustion_comprehensive_oboeru.js","気体・燃焼総合（計算含む）〈覚える編〉","sci.comprehensive.combustion_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.earth_science_comprehensive_oboeru","comprehensive_earth_science_comprehensive_oboeru.js","地学総合〈覚える編〉","sci.comprehensive.earth_science_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.electricity_comprehensive_oboeru","comprehensive_electricity_comprehensive_oboeru.js","電気総合（回路／電力／発熱）〈覚える編〉","sci.comprehensive.electricity_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.human_body_comprehensive_oboeru","comprehensive_human_body_comprehensive_oboeru.js","ヒトの体総合（全分野の横断）〈覚える編〉","sci.comprehensive.human_body_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.light_sound_comprehensive_oboeru","comprehensive_light_sound_comprehensive_oboeru.js","光・音の総合〈覚える編〉","sci.comprehensive.light_sound_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.mechanics_comprehensive_oboeru","comprehensive_mechanics_comprehensive_oboeru.js","力学総合（てこ／滑車／ばね／浮力）〈覚える編〉","sci.comprehensive.mechanics_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.physics_comprehensive_advanced_oboeru","comprehensive_physics_comprehensive_advanced_oboeru.js","物理総合（最難関中対応）〈覚える編〉","sci.comprehensive.physics_comprehensive_advanced"
おぼえる編（対応あり）,小6,"sci.comprehensive.physics_comprehensive_oboeru","comprehensive_physics_comprehensive_oboeru.js","物理総合〈覚える編〉","sci.comprehensive.physics_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.strata_comprehensive_oboeru","comprehensive_strata_comprehensive_oboeru.js","大地の変化総合（地層／化石／火山／地震）〈覚える編〉","sci.comprehensive.strata_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.water_solution_comprehensive_oboeru","comprehensive_water_solution_comprehensive_oboeru.js","水溶液総合（酸・アルカリ・中和）〈覚える編〉","sci.comprehensive.water_solution_comprehensive"
おぼえる編（対応あり）,小6,"sci.comprehensive.weather_comprehensive_oboeru","comprehensive_weather_comprehensive_oboeru.js","気象総合（前線／台風／天気図読み取り）〈覚える編〉","sci.comprehensive.weather_comprehensive"
おぼえる編（対応あり）,小5,"sci.earth.clouds_fronts_weather_map_oboeru","earth_clouds_fronts_weather_map_oboeru.js","気象（雲・前線・天気図）〈覚える編〉","sci.earth.clouds_fronts_weather_map"
